"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"    17 Thetis (A852 HA)",2.471,0.1329,5.59,125.54,135.81,2.142,2.80,3.88,61989,0,4283,,,7.76,84.899,,0.193,12.27048,,0.829,0.438,,Sl,S
"    18 Melpomene (A852 MA)",2.296,0.2179,10.13,150.36,228.12,1.796,2.80,3.48,61945,0,5391,,,6.53,139.594,,0.181,11.57,,0.854,0.425,,S,S
"    19 Fortuna (A852 QA)",2.443,0.1570,1.57,211.04,182.47,2.059,2.83,3.82,61843,0,3790,,,7.38,200,,0.037,7.4432,,0.719,0.324,,Ch,G
"    20 Massalia (A852 SA)",2.409,0.1431,0.71,205.97,257.56,2.064,2.75,3.74,60314,0,2769,,,6.58,135.680,,0.241,8.098,,0.854,0.463,,S,S
"    21 Lutetia (A852 VA)",2.435,0.1635,3.06,80.85,250.16,2.037,2.83,3.8,56911,0,5409,,,7.52,95.76,,0.2212,8.1655,,0.686,0.189,,Xk,M
"    22 Kalliope (A852 WA)",2.91,0.0984,13.70,65.99,357.60,2.624,3.20,4.96,61278,0,3454,,,6.53,167.536,,0.166,4.1483,0.491,0.715,0.234,,X,M
"    23 Thalia (A852 XA)",2.63,0.2327,10.10,66.71,60.99,2.018,3.24,4.27,60322,0,2669,,,7.14,107.53,,0.2536,12.312,,0.859,0.442,,S,S
"    24 Themis (A853 GA)",3.142,0.1224,0.75,35.96,107.60,2.758,3.53,5.57,61577,0,4462,,,7.25,198,,0.067,8.374,,0.684,0.336,,B,C
"    25 Phocaea (A853 GB)",2.399,0.2550,21.61,214.10,90.25,1.788,3.01,3.72,59108,0,3801,,,7.86,61.054,,0.350,9.9341,,0.932,0.513,,S,S
"    26 Proserpina (A853 JA)",2.655,0.0894,3.56,45.76,193.66,2.418,2.89,4.33,58804,0,3044,,,7.49,94.80,,0.1966,13.11,,0.891,0.525,,S,S
"    27 Euterpe (A853 VA)",2.348,0.1721,1.58,94.78,356.26,1.944,2.75,3.6,61380,0,3049,,,7.07,96,,0.215,10.4082,,0.878,0.502,,S,S
"    28 Bellona (A854 EA)",2.775,0.1515,9.43,144.29,343.83,2.354,3.20,4.62,60267,0,3207,,,7.24,120.90,,0.1763,15.706,,0.845,0.469,,S,S
"    29 Amphitrite (A854 EB)",2.554,0.0734,6.08,356.33,63.09,2.367,2.74,4.08,60638,0,2575,,,6.05,189.559,,0.216,5.3921,,0.838,0.449,,S,S
"    30 Urania (A854 OA)",2.366,0.1277,2.10,307.47,87.00,2.064,2.67,3.64,59061,0,3738,,,7.55,92.787,,0.192,13.686,,0.873,0.459,,Sl,S
